Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
384;Adam Pavlasek;CZE;94;-3;0
385;Hugo Gaston;FRA;92;-2;0
386;Evgeny Tyurnev;RUS;92;0;0
387;Felipe Meligeni Rodrigues Alves;BRA;92;0;0
388;Vit Kopriva;CZE;92;0;0
389;Orlando Luz;BRA;90;1;0
390;Nikolas Sanchez-Izquierdo;ESP;90;15;5
391;Ryan Shane;USA;89;0;0
392;Guilherme Clezar;BRA;89;39;15
393;Gonzalo Villanueva;ARG;89;-1;0
394;Jenson Brooksby;USA;88;-1;0
395;Fajing Sun;CHN;88;-1;0
396;Andrea Vavassori;ITA;88;8;3
397;Zhizhen Zhang;CHN;88;-2;0
398;Martin Cuevas;URU;88;-2;0
399;Juan Pablo Varillas;PER;88;-2;0
400;Ryan Peniston;GBR;88;-2;0
401;Carlos Boluda-Purkiss;ESP;88;-2;0
402;Tomislav Brkic;BIH;87;-2;0
403;Alessandro Bega;ITA;87;-2;0
404;Laurynas Grigelis;LTU;86;-1;0
405;Hernan Casanova;ARG;86;-3;0
406;Eduard Esteve Lobato;ESP;86;-27;-10
407;Kevin King;USA;86;1;3
408;Matteo Martineau;FRA;84;-2;0
409;Maxime Hamou;FRA;83;-2;0
410;Nicolas Alvarez;PER;83;50;17
411;Yibing Wu;CHN;82;-1;0
412;Jacopo Berrettini;ITA;82;-1;0
413;Tom Jomby;FRA;81;0;0
414;Ulises Blanch;USA;81;33;12
415;Evan Furness;FRA;81;-6;-2
416;Pol Toledo Bague;ESP;81;0;1
417;Hugo Nys;FRA;80;-3;0
418;Youssef Hossam;EGY;80;-29;-10
419;Enrico Dalla Valle;ITA;80;-4;0
420;Alexander Ritschard;SUI;79;-2;0
421;Maxime Chazal;FRA;79;-2;0
422;Jurgen Melzer;AUT;78;-2;0
423;Alexander Sarkissian;USA;78;16;6
424;Colin Sinclair;AUS;78;-3;0
425;Bastian Malla;CHI;77;-2;0
426;Martin Redlicki;USA;77;-4;-1
427;Rio Noguchi;JPN;77;-3;0
428;Vaclav Safranek;CZE;77;-3;0
429;Jordi Arconada;ARG;77;-3;0
430;Illya Marchenko;UKR;76;-3;0
431;Jurgen Zopp;EST;76;15;7
432;Nicolas Mejia;COL;76;-4;0
433;Artem Dubrivnyy;RUS;75;-4;0
434;Mathieu Perchicot;FRA;75;3;2
435;Antoine Escoffier;FRA;74;-5;0
436;Alvaro Lopez San Martin;ESP;73;-19;-6
437;Agustin Velotti;ARG;73;-5;0
438;Martins Podzus;LAT;73;-5;0
439;Evan Song;USA;73;5;3
440;Julian Ocleppo;ITA;73;-5;0
441;Francesco Forti;ITA;73;-5;0
442;Gregoire Jacq;FRA;72;-4;0
443;Yannick Mertens;BEL;72;-9;-1
444;Diego Hidalgo;ECU;72;-4;0
445;Mate Valkusz;HUN;71;32;10
446;Edan Leshem;ISR;71;-5;0
447;Jordan Correia Passos Do Carmo;BRA;71;-5;0
448;Antoine Cornut-Chauvinc;FRA;71;-5;0
449;Aziz Dougaz;TUN;70;7;2
450;Daniel Altmaier;GER;69;-2;0
451;Alexander Erler;AUT;69;-2;0
452;Lucas Gerch;GER;69;-1;0
453;Jan Satral;CZE;68;-1;0
454;Miljan Zekic;SRB;68;-1;0
455;Camilo Ugo Carabelli;ARG;68;9;3
456;Nik Razborsek;SLO;68;-1;0
457;Tomas Martin Etcheverry;ARG;68;0;0
458;Oscar Jose Gutierrez;BRA;68;42;10
459;Dayne Kelly;AUS;67;11;4
460;Alen Avidzba;RUS;67;23;6
461;Michail Pervolarakis;GRE;67;-2;0
462;Alexander Zhurbin;RUS;67;1;1
463;Michael Geerts;BEL;66;-5;-1
464;Lucas Catarina;MON;66;-2;0
465;Quentin Robert (1994);REU;65;0;0
466;Matias Zukas;ARG;65;-21;-5
467;Dan Added;FRA;65;-17;-4
468;Matteo Donati;ITA;64;-2;0
469;Daniel Nguyen;USA;64;35;9
470;Giulio Zeppieri;ITA;64;-3;0
471;Renta Tokuda;JPN;64;-3;0
472;Ronald Slobodchikov;RUS;64;-3;0
473;Sho Shimabukuro;JPN;63;42;10
474;Pablo Vivero Gonzalez;ESP;63;4;2
475;David Perez Sanz;ESP;63;-4;0
476;Di Wu;CHN;63;-4;0
477;Marko Miladinovic;SRB;63;31;8
478;Maximiliano Estevez;ARG;63;8;3
479;Vladyslav Orlov;UKR;63;35;9
480;Aidan Mchugh;GBR;63;-19;-3
481;Joao Souza;BRA;62;-8;0
482;Nam Hoang Ly;VIE;62;-8;0
483;Niels Lootsma;NED;62;-29;-6
484;Andrea Basso;ITA;62;-9;0
485;Eduardo Struvay;COL;62;-9;0
486;Jordi Samper-Montana;ESP;61;-7;0
487;Nerman Fatic;BIH;61;-7;0
488;Ben Patael;ISR;61;-7;0
489;Yusuke Takahashi;JPN;61;-7;0
490;Benjamin Lock;ZIM;61;-6;0
491;Calvin Hemery;FRA;60;-6;0
492;Genaro Alberto Olivieri;ARG;60;7;2
493;Riccardo Balzerani;ITA;60;-5;0
494;Manuel Pena Lopez;ARG;60;-5;0
495;Lorenzo Musetti;ITA;59;-5;0
496;Rayane Roumane;FRA;59;-5;0
497;Albano Olivetti;FRA;59;-5;0
498;Pavel Nejedly;CZE;59;-4;0
499;Cheong-Eui Kim;KOR;59;-6;0
500;Alejandro Gonzalez;COL;59;-5;0
501;Brandon Holt;USA;58;-5;0
502;Sergio Gutierrez-Ferrol;ESP;58;-5;0
503;Jared Hiltzik;USA;58;-5;0
504;Gerald Melzer;AUT;57;-3;0
505;Zizou Bergs;BEL;57;1;2
506;Nicolae Frunza;ROU;57;17;5
507;Mariano Kestelboim;ARG;57;-20;-3
508;Marco Bortolotti;ITA;57;13;4
509;Joao Monteiro;POR;56;-7;-1
510;Rafael Matos;BRA;56;-3;1
