Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
142;Dennis Novak;AUT;387;-2;0
143;Constant Lestienne;FRA;384;8;27
144;Lukas Rosol;CZE;383;-2;0
145;Thanasi Kokkinakis;AUS;379;1;12
146;Yuichi Sugita;JPN;378;-1;8
147;Jurgen Zopp;EST;372;-4;0
148;Antoine Hoang;FRA;371;1;12
149;Alexei Popyrin;AUS;367;-2;0
150;Mats Moraing;GER;363;0;4
151;Tatsuma Ito;JPN;360;-3;0
152;Corentin Moutet;FRA;355;-8;-17
153;Facundo Bagnis;ARG;353;0;0
154;Yannick Hanfmann;GER;349;-2;-6
155;Gianluigi Quinzi;ITA;349;0;6
156;Salvatore Caruso;ITA;341;2;8
157;Egor Gerasimov;BLR;340;0;6
158;Gregoire Barrere;FRA;339;5;17
159;Alex Bolt;AUS;337;-5;-15
160;Pedro Martinez Portero;ESP;336;-4;0
161;Dominik Koepfer;GER;336;0;5
162;Alessandro Giannessi;ITA;332;-2;0
163;Yasutaka Uchiyama;JPN;332;22;57
164;Luca Vanni;ITA;325;4;8
165;Alexander Bublik;KAZ;323;-3;0
166;Henri Laaksonen;SUI;319;3;8
167;Tim Smyczek;USA;318;-3;0
168;Filippo Baldi;ITA;318;-3;0
169;Oscar Otte;GER;318;-2;1
170;Marc Polmans;AUS;317;-4;-1
171;Christopher Eubanks;USA;313;-1;6
172;Darian King;BAR;308;26;48
173;Pedja Krstin;SRB;305;-2;0
174;Nikola Milojevic;SRB;300;0;0
175;Alexey Vatutin;RUS;298;0;0
176;Kamil Majchrzak;POL;291;1;-2
177;Jo-Wilfried Tsonga;FRA;290;62;90
178;Andrea Arnaboldi;ITA;290;-2;-7
179;Nicolas Kicker;ARG;285;-1;0
180;Sebastian Ofner;AUT;285;-1;0
181;Roberto Quiroz;ECU;281;0;0
182;Horacio Zeballos;ARG;280;-9;-20
183;Daniel Brands;GER;278;-1;0
184;Andrej Martin;SVK;277;-1;0
185;Hiroki Moriya;JPN;276;6;8
186;Mohamed Safwat;EGY;274;-2;-2
187;James Ward;GBR;273;-1;0
188;Daniel Gimeno-Traver;ESP;271;1;0
189;Nicolas Mahut;FRA;270;1;0
190;Daniel Evans;GBR;266;2;0
191;Ernesto Escobedo;USA;265;-4;-7
192;Yosuke Watanuki;JPN;263;2;0
193;Aleksandr Nedovesov;KAZ;262;-13;-21
194;Maxime Janvier;FRA;262;2;0
195;Tommy Paul;USA;261;7;10
196;Mikael Ymer;SWE;260;59;90
197;Brayden Schnur;CAN;255;-25;-48
198;Stephane Robert;FRA;254;-3;-8
199;Stefano Napolitano;ITA;254;0;0
200;Arthur De Greef;BEL;253;4;5
201;Viktor Troicki;SRB;252;4;5
202;John-Patrick Smith;AUS;252;-9;-12
203;Adam Pavlasek;CZE;251;-3;0
204;Tommy Robredo;ESP;251;-3;0
205;Matteo Donati;ITA;248;-2;0
206;Blaz Kavcic;SLO;246;0;0
207;Rudolf Molleker;GER;246;0;0
208;Jurij Rodionov;AUT;246;9;17
209;Blaz Rola;SLO;243;-21;-29
210;Federico Gaio;ITA;236;0;0
211;Sergio Gutierrez-Ferrol;ESP;236;0;0
212;Go Soeda;JPN;236;2;5
213;Enrique Lopez-Perez;ESP;236;6;8
214;Tobias Kamke;GER;235;-1;1
215;Calvin Hemery;FRA;234;1;5
216;Kimmer Coppejans;BEL;234;-4;0
217;Ze Zhang;CHN;231;-9;-15
218;Filip Horansky;SVK;231;-3;0
219;Kenny de Schepper;FRA;228;-22;-33
220;Zdenek Kolar;CZE;228;-11;-10
221;Marcelo Arevalo;ESA;225;-1;0
222;Daniel Elahi Galan;COL;224;-1;0
223;Lorenzo Giustino;ITA;224;-1;0
224;Dustin Brown;GER;223;6;8
225;Joao Domingues;POR;223;-1;0
226;Thomaz Bellucci;BRA;222;-1;0
227;Gian Marco Moroni;ITA;222;-1;0
228;Viktor Galovic;CRO;222;-5;-1
229;Facundo Arguello;ARG;221;-2;0
230;Andy Murray;GBR;220;10;20
231;Mitchell Krueger;USA;216;-3;0
232;Donald Young;USA;216;16;33
233;Kevin Krawietz;GER;216;-4;0
234;Tallon Griekspoor;NED;215;-3;0
235;Guilherme Clezar;BRA;214;-3;0
236;Duckhee Lee;KOR;214;-18;-15
237;Jay Clarke;GBR;213;-4;0
238;James Duckworth;AUS;206;-4;0
239;Soon-Woo Kwon;KOR;206;-4;0
240;Dudi Sela;ISR;205;-4;0
241;Alejandro Davidovich Fokina;ESP;203;-4;0
242;Christian Harrison;USA;200;-1;0
243;Thiemo de Bakker;NED;199;-1;0
244;Filip Peliwo;CAN;198;-1;0
245;Gerald Melzer;AUT;192;-1;0
246;Nicola Kuhn;GER;190;-1;0
247;Norbert Gombos;SVK;189;0;0
248;Gastao Elias;POR;188;15;29
249;Roberto Cid Subervi;DOM;188;2;7
250;Gleb Sakharov;FRA;186;-12;-16
251;Marcos Giron;USA;183;57;80
252;Cem Ilkel;TUR;183;-3;0
253;Attila Balazs;HUN;180;-1;0
254;Santiago Giraldo;COL;178;-1;0
255;Saketh-Sai Myneni;IND;178;4;12
256;Uladzimir Ignatik;BLR;176;-6;-7
257;Dennis Novikov;USA;175;0;7
258;Daniel Masur;GER;173;0;5
259;Mathias Bourgue;FRA;173;6;15
260;Nino Serdarusic;CRO;173;4;15
261;Zhe Li;CHN;173;16;33
262;Evgeny Karlovskiy;RUS;172;-16;-18
263;Jc Aragone;USA;171;-9;0
264;Benjamin Bonzi;FRA;162;-3;0
265;Kevin King;USA;158;-3;-1
266;Johan Sebastien Tatlot;FRA;158;3;7
267;Bernabe Zapata Miralles;ESP;153;-1;0
268;Jose Hernandez-Fernandez;DOM;152;-1;0
269;Pedro Cachin;ARG;152;-1;0
270;Gianluca Mager;ITA;151;0;0
271;Elliot Benchetrit;FRA;150;4;8
272;Mario Vilella Martinez;ESP;148;-1;0
273;Yunseong Chung;KOR;148;1;5
274;Liam Broady;GBR;147;-1;3
275;Thai Kwiatkowski;USA;143;21;17
276;Danilo Petrovic;SRB;140;0;0
277;Victor Estrella;DOM;138;1;0
278;Enzo Couacaud;FRA;138;6;3
279;Federico Coria;ARG;138;0;0
280;Lucas Miedler;AUT;138;5;3
281;Max Purcell;AUS;138;-1;0
282;Kaichi Uchida;JPN;137;0;0
283;Laurynas Grigelis;LTU;134;4;0
284;Goncalo Oliveira;POR;134;-3;-4
285;Jurgen Melzer;AUT;133;3;0
286;Akira Santillan;AUS;133;3;0
287;Roberto Marcora;ITA;131;3;0
288;Scott Griekspoor;NED;130;6;3
289;Matteo Viola;ITA;130;2;0
290;Carlos Taberner;ESP;129;-7;-6
291;Jan Choinski;GER;128;1;0
292;Vaclav Safranek;CZE;127;1;0
293;Sasi Kumar Mukund;IND;126;2;0
294;Tsung-Hua Yang;TPE;124;4;0
295;Alexandr Dolgopolov;UKR;120;-35;-45
296;Alexander Sarkissian;USA;120;5;3
297;Ante Pavic;CRO;119;2;0
298;Andrea Collarini;ARG;118;2;0
299;Tomislav Brkic;BIH;117;3;0
300;Joris De Loore;BEL;115;3;0
301;Maverick Banes;AUS;115;-4;-10
302;Ulises Blanch;USA;110;11;15
303;Aldin Setkic;BIH;109;1;-6
304;Evan King;USA;108;-18;-26
305;Martin Cuevas;URU;106;0;0
306;Yibing Wu;CHN;105;0;0
307;Tristan Lamasine;FRA;102;2;0
308;Collin Altamirano;USA;101;2;0
309;Stefan Kozlov;USA;100;7;7
310;Mate Valkusz;HUN;98;1;0
311;Di Wu;CHN;97;-4;-7
312;Jelle Sels;NED;95;2;0
313;Carlos Gomez-Herrera;ESP;93;2;0
314;Evan Song;USA;92;6;7
315;Steve Darcis;BEL;90;?;?
316;Ricardo Ojeda Lara;ESP;89;-44;-57
317;Frank Dancevic;CAN;86;1;0
318;Roberto Ortega-Olmedo;ESP;86;1;0
319;Alejandro Gonzalez;COL;85;-7;-13
320;Dragos Dima;ROU;84;2;0
321;Sebastian Fanselow;GER;81;2;0
322;Frederico Ferreira Silva;POR;80;2;0
323;Maximilian Neuchrist;AUT;79;2;0
324;Yusuke Takahashi;JPN;78;2;0
325;Vincent Millot;FRA;77;-4;-8
326;Bradley Mousley;AUS;77;1;0
327;Roy Smith;USA;76;1;0
328;Dimitar Kuzmanov;BUL;76;1;0
329;Tak Khunn Wang;FRA;75;4;5
330;Mikael Torpegaard;DEN;71;0;0
331;Renzo Olivo;ARG;71;0;0
332;Roman Safiullin;RUS;71;0;0
333;Marcelo Tomas Barrios Vera;CHI;70;12;8
334;Andrea Pellegrino;ITA;70;0;0
335;Borna Gojo;CRO;69;0;0
336;David Guez;FRA;69;0;0
337;Tim Puetz;GER;68;-20;-22
338;Renta Tokuda;JPN;68;-1;0
339;Miljan Zekic;SRB;67;0;0
340;Aleksandar Vukic;AUS;65;8;5
341;Alexandre Muller;FRA;64;1;0
342;Andrew Harris;AUS;63;1;0
343;Pavel Kotov;RUS;62;1;0
344;Dayne Kelly;AUS;62;2;0
345;Alex Molcan;SVK;60;2;0
346;Sergey Betov;BLR;60;3;0
347;Juan Pablo Varillas;PER;60;3;0
348;Denis Yevseyev;KAZ;60;11;3
349;Dmitry Popko;KAZ;59;2;0
350;Blake Ellis;AUS;59;2;0
351;Michael Redlicki;USA;59;54;29
352;Carlos Boluda-Purkiss;ESP;59;1;0
353;Zihao Xia;CHN;58;1;0
