Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
224;Mikael Torpegaard;DEN;223;0;0
225;Mats Moraing;GER;220;-4;-8
226;Thomaz Bellucci;BRA;217;3;0
227;Attila Balazs;HUN;217;-8;-12
228;Tim Smyczek;USA;216;3;0
229;Jannik Sinner;ITA;215;34;45
230;Enzo Couacaud;FRA;214;3;0
231;Akira Santillan;AUS;213;20;29
232;Lucas Miedler;AUT;213;5;4
233;Thiemo de Bakker;NED;212;1;0
234;Ze Zhang;CHN;211;-19;-25
235;Mohamed Safwat;EGY;210;0;0
236;Pedro Cachin;ARG;210;-8;-8
237;Mathias Bourgue;FRA;209;-1;0
238;Bernabe Zapata Miralles;ESP;209;-6;-6
239;John-Patrick Smith;AUS;208;-12;-10
240;Blaz Kavcic;SLO;206;-2;0
241;Matteo Donati;ITA;202;-2;0
242;Zhe Li;CHN;199;3;5
243;Duckhee Lee;KOR;189;-2;-10
244;Steve Darcis;BEL;188;12;7
245;Saketh-Sai Myneni;IND;188;1;0
246;Daniel Masur;GER;186;2;0
247;Jared Donaldson;USA;185;-4;-10
248;Adam Pavlasek;CZE;185;1;0
249;Thai Kwiatkowski;USA;185;1;0
250;Yunseong Chung;KOR;185;3;2
251;Kaichi Uchida;JPN;185;-7;-10
252;Matteo Viola;ITA;184;0;0
253;Nicolas Mahut;FRA;182;1;0
254;Goncalo Oliveira;POR;181;11;15
255;Tobias Kamke;GER;180;2;0
256;Viktor Troicki;SRB;179;3;2
257;Daniel Gimeno-Traver;ESP;179;-15;-20
258;Max Purcell;AUS;177;-11;-10
259;Maverick Banes;AUS;175;-1;-5
260;Johan Sebastien Tatlot;FRA;174;1;0
261;Nicola Kuhn;GER;172;1;0
262;Steven Diez;CAN;165;4;0
263;Uladzimir Ignatik;BLR;164;-8;-18
264;Gleb Sakharov;FRA;162;3;0
265;Scott Griekspoor;NED;162;3;0
266;Jc Aragone;USA;162;-2;-8
267;Kevin Krawietz;GER;160;3;0
268;Jeff Wolf;USA;156;3;0
269;Guilherme Clezar;BRA;155;4;0
270;Tristan Lamasine;FRA;153;5;0
271;Tung-Lin Wu;TPE;151;16;15
272;Jose Hernandez-Fernandez;DOM;151;16;15
273;Elliot Benchetrit;FRA;151;-4;-10
274;Cem Ilkel;TUR;150;7;7
275;Marc-Andrea Huesler;SUI;149;1;0
276;Carlos Taberner;ESP;146;2;0
277;Kenny de Schepper;FRA;145;-3;-9
278;Collin Altamirano;USA;144;1;0
279;Gerald Melzer;AUT;144;1;0
280;Ulises Blanch;USA;143;9;7
281;Sumit Nagal;IND;142;22;29
282;Stephane Robert;FRA;141;0;0
283;Laurynas Grigelis;LTU;141;0;0
284;Tommy Robredo;ESP;140;-58;-80
285;Gilles Muller;LUX;138;-8;-10
286;Joao Menezes;BRA;138;69;80
287;Jan Choinski;GER;138;-3;0
288;Ernesto Escobedo;USA;138;-3;0
289;Roberto Cid Subervi;DOM;137;5;7
290;Marcelo Tomas Barrios Vera;CHI;136;-4;0
291;Mario Vilella Martinez;ESP;136;-31;-40
292;Jurgen Melzer;AUT;132;0;0
293;Roberto Ortega-Olmedo;ESP;132;7;15
294;Pavel Kotov;RUS;129;3;7
295;Sasi Kumar Mukund;IND;126;4;7
296;Benjamin Bonzi;FRA;123;-5;-9
297;Liam Broady;GBR;122;-2;-4
298;Tsung-Hua Yang;TPE;122;-8;-14
299;Nino Serdarusic;CRO;121;-1;0
300;Roman Safiullin;RUS;119;-7;-13
301;Tomislav Brkic;BIH;116;0;0
302;Filip Peliwo;CAN;114;-30;-42
303;Alexandre Muller;FRA;111;-1;-5
304;Yibing Wu;CHN;110;0;0
305;Marcelo Arevalo;ESA;108;0;0
306;Denis Yevseyev;KAZ;108;4;7
307;Christian Harrison;USA;107;-11;-15
308;Jelle Sels;NED;107;-2;0
309;Horacio Zeballos;ARG;105;-2;0
310;Aleksandar Vukic;AUS;102;9;7
311;Borna Gojo;CRO;101;-3;0
312;Luke Saville;AUS;101;3;3
313;Maxime Cressy;FRA;99;-1;0
314;Mate Valkusz;HUN;98;0;0
315;Martin Cuevas;URU;97;1;0
316;Joris De Loore;BEL;96;-5;-3
317;Janko Tipsarevic;SRB;95;0;0
318;Sebastian Fanselow;GER;95;0;0
319;Michael Redlicki;USA;95;1;0
320;Andrea Collarini;ARG;94;1;0
321;Tak Khunn Wang;FRA;93;1;0
322;Evan King;USA;93;1;0
323;Gonzalo Escobar;ECU;92;1;0
324;Calvin Hemery;FRA;92;-15;-9
325;Frederico Ferreira Silva;POR;91;1;3
326;Aldin Setkic;BIH;91;-13;-8
327;Dragos Dima;ROU;90;-2;0
328;Roy Smith;USA;87;2;3
329;Matias Franco Descotte;ARG;86;-2;0
330;Dimitar Kuzmanov;BUL;86;-2;0
331;Zhizhen Zhang;CHN;84;-2;0
332;Renzo Olivo;ARG;84;0;3
333;Alex Molcan;SVK;81;-2;0
334;Ante Pavic;CRO;81;-1;0
335;Gastao Elias;POR;80;0;3
336;Danilo Petrovic;SRB;77;1;0
337;Evan Song;USA;77;-1;0
338;Hugo Nys;FRA;75;0;0
339;Maximilian Neuchrist;AUT;72;1;0
340;Vincent Millot;FRA;72;1;0
341;Vaclav Safranek;CZE;72;1;0
342;Baptiste Crepatte;FRA;71;3;5
343;Yuki Bhambri;IND;70;-9;-10
344;Aslan Karatsev;RUS;69;7;8
345;Juan Pablo Varillas;PER;69;1;3
346;Oriol Roca Batalla;ESP;67;-2;0
347;Alexander Sarkissian;USA;65;0;0
348;Di Wu;CHN;64;0;0
349;Kevin King;USA;64;0;0
350;Benjamin Hassan;LIB;62;-11;-13
351;Dmitry Popko;KAZ;61;8;7
352;Ji Sung Nam;KOR;59;5;3
353;Ryan Shane;USA;59;-1;0
354;Alejandro Tabilo;CHI;58;-1;0
355;Jose Statham;NZL;58;-5;-5
356;Zihao Xia;CHN;58;-2;0
357;Jan Satral;CZE;57;-1;0
358;Thiago Seyboth Wild;BRA;55;7;3
359;Zsombor Piros;HUN;54;1;0
360;Raul Brancaccio;ITA;54;1;0
361;Brydan Klein;GBR;53;1;0
362;Renta Tokuda;JPN;53;1;0
363;Johannes Haerteis;GER;52;1;0
364;Frank Dancevic;CAN;51;2;0
365;Franko Skugor;CRO;51;2;0
366;Victor Estrella;DOM;51;2;0
367;Miljan Zekic;SRB;51;-24;-17
368;Dayne Kelly;AUS;50;2;0
369;Alessandro Bega;ITA;50;2;0
370;Facundo Mena;ARG;49;2;0
371;Sadio Doumbia;FRA;49;3;3
372;Makoto Ochi;JPN;48;5;3
373;Yan Bai;CHN;48;13;6
374;Yusuke Takahashi;JPN;48;-1;0
375;Ivan Gakhov;RUS;47;-17;-8
376;Pedro Sakamoto;BRA;45;-1;0
377;Julian Lenz;GER;45;-1;0
378;Andrea Pellegrino;ITA;45;0;0
379;Jacob Grills;AUS;45;0;0
380;Illya Marchenko;UKR;43;0;0
381;Jared Hiltzik;USA;43;0;0
382;Teimuraz Gabashvili;RUS;43;5;3
383;Alen Avidzba;RUS;43;-1;0
384;Martin Redlicki;USA;43;-1;0
385;Jeremy Jahn;GER;42;-1;0
386;Tom Jomby;FRA;42;-1;0
387;Viktor Durasovic;NOR;41;4;3
388;Antoine Escoffier;FRA;41;6;3
389;Carlos Boluda-Purkiss;ESP;41;6;3
390;Riccardo Bonadio;ITA;40;-2;0
391;Javier Barranco Cosano;ESP;40;-2;0
392;Alexis Galarneau;CAN;39;-2;0
393;Sebastian Korda;USA;38;-1;0
394;Alejandro Gonzalez;COL;38;-1;0
395;Emil Ruusuvuori;FIN;37;5;3
396;Andres Artunedo Martinavarr;ESP;35;0;0
397;Sekou Bangoura;USA;35;0;0
398;Dennis Novikov;USA;35;0;0
399;Arjun Kadhe;IND;35;0;0
400;Blake Ellis;AUS;33;1;0
401;Harry Bourchier;AUS;32;2;0
402;Andrea Vavassori;ITA;32;2;0
403;Youssef Hossam;EGY;31;3;0
404;Nam Hoang Ly;VIE;31;3;0
405;Stefan Kozlov;USA;31;-36;-20
406;Tobias Simon;GER;31;2;0
407;Sandro Ehrat;SUI;30;66;15
408;Alexander Ward;GBR;30;1;0
409;Rigele Te;CHN;29;-4;-3
410;Joao Souza;BRA;29;1;0
411;Karim-Mohamed Maamoun;EGY;29;31;7
412;Gregoire Jacq;FRA;29;0;0
413;Gijs Brouwer;NED;29;0;0
414;Hugo Grenier;FRA;28;0;0
415;Bradley Mousley;AUS;28;0;0
416;Andrea Basso;ITA;28;0;0
417;Jordi Samper-Montana;ESP;28;0;0
418;Jacopo Berrettini;ITA;27;0;0
419;Chun Hsin Tseng;TPE;27;0;0
420;Manuel Guinard;FRA;27;0;0
421;Tim Van Rijthoven;NED;27;0;0
422;Shuichi Sekiguchi;JPN;26;;
