Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
289;Jared Donaldson;USA;120;4;0
290;Benjamin Bonzi;FRA;120;4;0
291;Aleksandar Vukic;AUS;120;17;15
292;Alexandre Muller;FRA;119;5;3
293;Laurynas Grigelis;LTU;119;2;0
294;Evan King;USA;117;18;15
295;Nino Serdarusic;CRO;117;1;0
296;Marcelo Arevalo;ESA;116;8;8
297;Roberto Cid Subervi;DOM;114;43;40
298;Ji Sung Nam;KOR;113;0;0
299;Tomislav Brkic;BIH;112;0;0
300;Emil Ruusuvuori;FIN;111;110;80
301;Carlos Taberner;ESP;111;-1;0
302;Yibing Wu;CHN;110;-1;0
303;Zhizhen Zhang;CHN;110;-1;0
304;Denis Yevseyev;KAZ;108;1;0
305;Andrea Collarini;ARG;107;21;15
306;Jelle Sels;NED;107;0;0
307;Tsung-Hua Yang;TPE;106;0;-1
308;Tak Khunn Wang;FRA;105;1;0
309;Jurgen Melzer;AUT;104;1;0
310;Benjamin Hassan;LIB;104;-7;-5
311;Stephane Robert;FRA;102;-27;-29
312;Alejandro Tabilo;CHI;102;-1;0
313;Borna Gojo;CRO;101;0;0
314;Luke Saville;AUS;101;0;0
315;Sebastian Fanselow;GER;100;5;5
316;Frederico Ferreira Silva;POR;99;11;8
317;Maxime Cressy;FRA;99;-1;0
318;Mate Valkusz;HUN;97;0;-1
319;Gonzalo Escobar;ECU;97;0;0
320;Dimitar Kuzmanov;BUL;96;4;3
321;Guilherme Clezar;BRA;96;-31;-29
322;Matias Franco Descotte;ARG;94;0;0
323;Michael Redlicki;USA;94;-2;-1
324;Christian Harrison;USA;93;-1;0
325;Roy Smith;USA;92;0;0
326;Gerald Melzer;AUT;91;-11;-8
327;Joris De Loore;BEL;90;1;0
328;Dragos Dima;ROU;90;1;0
329;Martin Cuevas;URU;90;4;8
330;Adam Pavlasek;CZE;90;-13;-9
331;Alex Molcan;SVK;86;-1;0
332;Scott Griekspoor;NED;85;-69;-77
333;Evan Song;USA;85;-2;0
334;Baptiste Crepatte;FRA;84;2;7
335;Gilles Muller;LUX;83;-49;-45
336;Andrea Vavassori;ITA;82;3;7
337;Oriol Roca Batalla;ESP;82;11;15
338;Gastao Elias;POR;80;-4;0
339;Hugo Nys;FRA;80;-4;0
340;Julian Lenz;GER;78;30;29
341;Renzo Olivo;ARG;77;-4;0
342;Ryan Shane;USA;76;-4;0
343;Aslan Karatsev;RUS;74;4;5
344;Aldin Setkic;BIH;73;-12;-10
345;Alexander Sarkissian;USA;73;-4;0
346;Juan Pablo Varillas;PER;73;-1;3
347;Di Wu;CHN;73;2;7
348;Vincent Millot;FRA;72;-6;0
349;Calvin Hemery;FRA;72;-6;0
350;Vaclav Safranek;CZE;72;0;9
351;Matteo Donati;ITA;71;-7;0
352;Ante Pavic;CRO;70;-6;0
353;Andrea Pellegrino;ITA;68;3;7
354;Brydan Klein;GBR;66;1;5
355;Alessandro Bega;ITA;65;-4;3
356;Manuel Guinard;FRA;64;1;3
357;Raul Brancaccio;ITA;64;5;7
358;Dmitry Popko;KAZ;61;-6;0
359;Viktor Durasovic;NOR;61;-6;0
360;Thiago Seyboth Wild;BRA;61;-6;0
361;Horacio Zeballos;ARG;60;-3;0
362;Zihao Xia;CHN;58;-2;0
363;Johannes Haerteis;GER;57;-4;-3
364;Zsombor Piros;HUN;57;-3;0
365;Ivan Gakhov;RUS;57;3;7
366;Facundo Mena;ARG;54;-2;0
367;Yan Bai;CHN;54;-1;3
368;Renta Tokuda;JPN;53;-3;0
369;Jacob Grills;AUS;52;10;7
370;Dayne Kelly;AUS;50;-3;0
371;Jan Satral;CZE;50;-8;-5
372;Arthur Rinderknech;FRA;49;3;3
373;Sadio Doumbia;FRA;49;-1;0
374;Jose Statham;NZL;48;-1;0
375;Pedro Sakamoto;BRA;48;2;3
376;Makoto Ochi;JPN;48;-2;0
377;Riccardo Bonadio;ITA;47;-8;-3
378;Peter Torebko;GER;46;7;3
379;Khumoun Sultanov;UZB;45;53;21
380;Sekou Bangoura;USA;45;12;5
381;Alejandro Gonzalez;COL;45;-3;0
382;Sebastian Korda;USA;44;7;3
383;Carlos Boluda-Purkiss;ESP;44;-3;0
384;Illya Marchenko;UKR;43;-3;0
385;Victor Estrella;DOM;43;-3;0
386;Jared Hiltzik;USA;43;-3;0
387;Martin Redlicki;USA;43;-3;0
388;Alexis Galarneau;CAN;42;-2;0
389;Jacopo Berrettini;ITA;42;36;15
390;Tom Jomby;FRA;42;-3;0
391;Dennis Novikov;USA;42;-3;0
392;Sandro Ehrat;SUI;41;4;3
393;Geoffrey Blancaneaux;FRA;41;9;7
394;Yusuke Takahashi;JPN;41;-4;0
395;Frank Dancevic;CAN;40;-19;-5
396;Kevin King;USA;40;-25;-9
397;Javier Barranco Cosano;ESP;40;-4;0
398;Franko Skugor;CRO;39;-4;0
399;Giulio Zeppieri;ITA;39;127;29
400;Andres Artunedo Martinavarr;ESP;38;0;3
401;Miljan Zekic;SRB;36;-4;0
402;Edan Leshem;ISR;36;15;7
403;Alen Avidzba;RUS;36;-5;0
404;Teimuraz Gabashvili;RUS;36;1;3
405;Stefan Kozlov;USA;36;-6;0
406;Arjun Kadhe;IND;35;-5;0
407;Maximilian Neuchrist;AUT;34;-12;-5
408;Karim-Mohamed Maamoun;EGY;34;-5;0
409;Carlos Gomez-Herrera;ESP;33;-5;0
410;Blake Ellis;AUS;33;-4;0
411;Harry Bourchier;AUS;32;-4;0
412;Antoine Cornut-Chauvinc;FRA;32;-4;0
413;Youssef Hossam;EGY;31;-4;0
414;Andrea Basso;ITA;31;7;3
415;Nam Hoang Ly;VIE;31;-4;0
416;Ben Patael;ISR;30;15;5
417;Corentin Denolly;FRA;30;-4;0
418;Gijs Brouwer;NED;30;-4;0
419;Rigele Te;CHN;29;-4;0
420;Joao Souza;BRA;29;-4;0
421;Gregoire Jacq;FRA;29;-3;0
